
       15 May 2016
CFEPS  Correspondence list 

This file is not intended to be a readable table, but rather a searchable
file to find the linkages between a CFEPS designation and the IAU Minor
Planet Center designations (which include both temporary, packed temporary,
and perhaps numbered or named designations

L5i04	K05JI6K	2005 JK186
L3q03	K03QB3X	2003 QX113
L7a02	K06WK6G	2006 WG206
L4p04PD	K00P30E	2000 PE30
L5c15	K05C81H	2005 CH81
L4n06	K04O15S	2004 OS15
L4n05	K04O15R	2004 OR15
L3f01	K03FC9Z	2003 FZ129
L4h21	K04H79Q	2004 HQ79
L5j02	K05L54C	2005 LC54
L5r01	K05R52H	2005 RH52
L4k09	K04K18V	2004 KV18
L4m01	K04M08W	2004 MW8
L4p07	K04PB7Y	2004 PY117
L3q01	K03QB3W	2003 QW113
L7a03	K06BS4S	2006 BS284
L4v11	K04VD1H	2004 VH131
L4v04	K04VD1G	2004 VG131
L4v15	K04VD1M	2004 VM131
L3h08	K03H57B	2003 HB57
